Gene_Symbol,WT56_8am_Female_Aged,WT2_8am_Male_Aged,WT55_12pm_Female_Aged,WT5_12pm_Male_Aged,WT54_4pm_Female_Aged,WT6_4pm_Female_Aged,WT53_8pm_Male_Aged,WT51_12am_Male_Aged,WT42_12am_Female_Aged,WT49_4am_Female_Aged,WT43_4am_Female_Aged
Cdyl,337.0,271.0,260.0,406.0,359.0,309.0,257.0,219.0,306.0,326.0,223.0
Cdyl2,219.0,211.0,256.0,218.0,212.0,262.0,259.0,275.0,241.0,245.0,138.0
Ceacam-ps1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceacam1,846.19,768.24,752.59,905.01,753.44,1063.5,707.39,1128.52,1048.61,1148.88,523.77
Ceacam10,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,1.0,1.02
Ceacam11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceacam12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceacam13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceacam14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceacam15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Ceacam16,0.0,1.0,0.0,0.0,2.35,0.0,0.0,0.0,0.0,0.0,0.0
